FID;pointid;grid_code;lake_id;hl_avg_dis;hl_wrt_d;buflake
104222;383459;383459;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104223;383460;383460;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104224;383461;383461;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104237;383530;383530;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104238;383531;383531;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104239;383532;383532;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104252;383592;383592;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104253;383593;383593;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104254;383594;383594;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104255;383595;383595;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104269;383664;383664;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104270;383665;383665;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104271;383666;383666;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104284;383722;383722;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104285;383723;383723;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104286;383724;383724;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104287;383725;383725;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104288;383726;383726;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104301;383780;383780;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104302;383781;383781;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104316;383889;383889;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104317;383890;383890;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104318;383891;383891;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104331;383952;383952;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104332;383953;383953;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104333;383954;383954;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104347;384014;384014;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104348;384015;384015;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104349;384016;384016;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104362;384065;384065;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104363;384066;384066;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104364;384067;384067;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104365;384068;384068;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104366;384069;384069;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104367;384070;384070;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104368;384071;384071;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104369;384072;384072;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104370;384073;384073;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104371;384074;384074;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104372;384075;384075;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104373;384076;384076;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104374;384077;384077;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104375;384078;384078;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104376;384079;384079;-9999;-9999,000000000000000;-9999,000000000000000;-9999
104390;384144;384144;-9999;-9999,000000000000000;-9999,000000000000000;-9999
