FID;pointid;grid_code;lake_id;hl_avg_dis;hl_wrt_d;buflake
39514;496432;496432;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39515;496433;496433;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39525;496458;496458;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39526;496459;496459;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39535;496485;496485;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39536;496486;496486;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39544;496524;496524;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39545;496525;496525;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39552;496557;496557;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39553;496558;496558;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39560;496579;496579;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39561;496580;496580;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39569;496605;496605;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39570;496606;496606;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39577;496637;496637;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39578;496638;496638;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39586;496662;496662;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39587;496663;496663;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39594;496686;496686;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39595;496687;496687;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39602;496711;496711;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39603;496712;496712;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39609;496736;496736;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39610;496737;496737;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39616;496767;496767;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39617;496768;496768;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39623;496791;496791;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39624;496792;496792;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39630;496844;496844;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39631;496845;496845;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39638;496885;496885;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39639;496886;496886;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39646;496917;496917;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39647;496918;496918;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39654;496945;496945;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39655;496946;496946;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39663;496969;496969;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39664;496970;496970;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39671;496992;496992;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39672;496993;496993;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39681;497015;497015;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39682;497016;497016;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39690;497038;497038;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39691;497039;497039;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39700;497062;497062;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39701;497063;497063;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39708;497087;497087;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39709;497088;497088;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39721;497115;497115;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39722;497116;497116;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39729;497147;497147;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39730;497148;497148;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39738;497188;497188;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39739;497189;497189;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39747;497211;497211;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39748;497212;497212;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39756;497234;497234;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39757;497235;497235;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39764;497254;497254;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39765;497255;497255;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39774;497277;497277;-9999;-9999,000000000000000;-9999,000000000000000;-9999
39775;497278;497278;-9999;-9999,000000000000000;-9999,000000000000000;-9999
