FID;pointid;grid_code;lake_id;hl_avg_dis;hl_wrt_d;buflake
51964;453390;453390;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51965;453391;453391;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51972;453427;453427;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51973;453428;453428;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51974;453429;453429;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51989;453471;453471;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51990;453472;453472;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51991;453473;453473;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51992;453474;453474;-9999;-9999,000000000000000;-9999,000000000000000;-9999
51993;453475;453475;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52008;453528;453528;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52009;453529;453529;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52010;453530;453530;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52011;453531;453531;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52012;453532;453532;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52013;453533;453533;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52014;453534;453534;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52015;453535;453535;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52035;453583;453583;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52036;453584;453584;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52045;453637;453637;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52055;453672;453672;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52063;453699;453699;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52073;453726;453726;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52074;453727;453727;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52084;453754;453754;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52085;453755;453755;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52105;453792;453792;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52106;453793;453793;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52108;453821;453821;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52109;453822;453822;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52111;453848;453848;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52112;453849;453849;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52114;453871;453871;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52115;453872;453872;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52117;453895;453895;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52118;453896;453896;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52119;453897;453897;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52121;453952;453952;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52123;453995;453995;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52125;454026;454026;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52126;454027;454027;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52130;454054;454054;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52131;454055;454055;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52133;454077;454077;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52135;454098;454098;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52136;454099;454099;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52137;454100;454100;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52138;454133;454133;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52139;454134;454134;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52140;454169;454169;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52141;454170;454170;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52142;454200;454200;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52143;454201;454201;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52144;454246;454246;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52145;454247;454247;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52146;454248;454248;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52147;454249;454249;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52148;454292;454292;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52149;454293;454293;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52150;454294;454294;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52151;454295;454295;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52152;454296;454296;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52153;454297;454297;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52154;454318;454318;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52155;454319;454319;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52156;454320;454320;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52157;454359;454359;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52158;454360;454360;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52159;454389;454389;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52160;454390;454390;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52161;454429;454429;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52162;454458;454458;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52163;454490;454490;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52164;454491;454491;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52165;454517;454517;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52166;454518;454518;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52167;454544;454544;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52168;454545;454545;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52169;454574;454574;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52170;454575;454575;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52171;454602;454602;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52172;454603;454603;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52173;454628;454628;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52174;454629;454629;-9999;-9999,000000000000000;-9999,000000000000000;-9999
52175;454630;454630;-9999;-9999,000000000000000;-9999,000000000000000;-9999
