"site.name","sample.name","series","year","campaign","julian.day","sampling.date","sample.type","soil.type","lat","long","km.hq","flow.distance","position","depth","depth.satellite","secchi","width","elevation","elevation.gis","flow.accumulation.max","velocity.drifting.est","velocity.drifting.calc","discharge.daily.hq","velocity.daily","discharge.camp.hq","velocity.camp","velocity.stream","discharge.calc","Seepage.meters.Q","strahler.stream.order","slope","distance.to.water.body","distance.from.mouth","catchment.area","atm.pressure.ysi","temp.water.ysi","do.perc.ysi","do.cor.perc.ysi","do.conc.ysi","cond.ysi","ph.ysi","alkalinity","wind.max.kestrel","wind.avg.kestrel","temp.air.kestrel","humidity.rel.kestrel","pressure.atm.kestrel","bact.abundance","bact.abundance.se","bact.production","chla","chla.se","TP","TP.se","TN","TN.se","NH4","NH4.se","NOx","NOx.se","NO2","NO2.se","NO3","NO3.se","Fe","DOC","DOC.se","DIC","DIC.se","lability","lability.se","photodegradability.conc","photodegradability.perc","C1","C2","C3","C4","C5","C6","CDOM","pco2.headspace","pco2.headspace.se","pch4.headspace","pch4.headspace.se","pco2.headspace.pic","pco2.headspace.pic.se","pch4.headspace.pic","pch4.headspace.pic.se","pn2o.headspace","pn2o.headspace.se","flux.co2","flux.ch4","kco2.flux","kch4.flux","k600","kch4.k600","Rn","Rn.se","d13C.co2","d13C.co2.se","d13C.ch4","d13C.ch4.se","d2H.h2o","dO18.h2o","dO17.h2o","d13C.DOC","d13C.DIC","POM.PIM","POM.PIM.se","POM","PIM","POM.N.perc","POM.C.perc","POC","d13C.POM","Comments","sample.type.year"
"ROM-047.68","LR01.10","LR",2015,1,158,"2015-06-07","River",NA,50.35494,-63.27006,47.684536,426.315464,"main",NA,1.7,NA,195,18,NA,22940412,"1.4249999999999998","1.5221913748662843",514.3,1.55,552.5,1.67,NA,NA,NA,NA,NA,NA,45.1215958940899,0.009496679236,760.8,5.35,109.9,110.051692581085,13.94,NA,NA,NA,7,5,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198.15877119979,NA,6.32411996564262,NA,NA,NA,NA,NA,NA,NA,359.420170912908,0.0394286267119959,6.9006569701356,3.90274189300885,10.4338795155204,5.90719732296193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stationnaire à cause du vent","Downriver"
"ROM-048.84","LR01.11","LR",2015,1,158,"2015-06-07","River",NA,50.36529,-63.26799,48.839191,425.160809,"side",NA,2.3,NA,132,18.23,NA,22940412,"2.9333333333333336","2.886944783563536",514.3,1.69,552.5,1.82,NA,NA,NA,NA,NA,NA,46.3812106213299,170.086909687453,760.8,5.36,109.7,109.764026044917,13.9,NA,NA,NA,8,5,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1233.58567592436,NA,6.61271806291396,NA,NA,NA,NA,NA,NA,NA,235.91174537965,0.0268013664917984,4.34413241800039,2.49598796045298,6.56635456673222,3.77679943638882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-048.66","LR01.12","LR",2015,1,158,"2015-06-07","River",NA,50.36356,-63.2683,48.661617,425.338383,"rapid",NA,1.6,NA,206,18.14,NA,22940412,"4.666666666666667","3.2146659765482801",514.3,1.56,552.5,1.68,NA,NA,NA,NA,NA,NA,46.0589192878475,170.090815999753,760.8,5.37,111.9,111.845814087663,14.16,NA,NA,NA,NA,5,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166.27900867224,NA,5.12493215317176,NA,NA,NA,NA,NA,NA,NA,302.030887303509,0.0414262122800277,6.03677395993347,5.56229348299707,9.12204250669542,8.41405082074184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-050.76","LR01.13","LR",2015,1,158,"2015-06-07","River",NA,50.38148,-63.26656,50.758026,423.241974,"rapid",NA,2.7,NA,110,18.26,NA,22923796,NA,"0.89302515369176827",514.3,1.73,552.5,1.86,NA,NA,NA,NA,NA,NA,48.1412106213299,170.049695552275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-050.34","LR01.2","LR",2015,1,158,"2015-06-07","River",NA,50.37797,-63.26694,50.343369,423.656631,"side",NA,2.4,NA,129,18.23,NA,22923796," ","1.307227038495111",514.3,1.66,552.5,1.78,NA,NA,NA,NA,NA,NA,47.7812106213299,170.052121806248,760.8,4.96,113.5,113.642717106833,14.54,NA,NA,NA,NA,2.7,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1205.45886259552,NA,5.04233751885488,NA,NA,NA,NA,NA,NA,NA,576.522795278876,0.0732686146915071,10.8040614975629,9.96080747060748,19.0534232922188,17.5827622892477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-050.19","LR01.3","LR",2015,1,158,"2015-06-07","River",NA,50.37671,-63.2666,50.193798,423.806202,"main",NA,3,NA,96,18.23,NA,22923796,"2.1999999999999997","1.936708936676409",514.3,1.79,552.5,1.92,NA,NA,NA,NA,NA,NA,47.6412106213299,170.054691291672,760.8,4.98,114.2,114.170602292443,14.6,NA,NA,NA,NA,2.7,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1329.88752191224,NA,6.4959251614547,NA,NA,NA,NA,NA,NA,NA,188.006246629552,0.0231997883366966,3.06982279274253,2.19029611809847,5.40930094308051,3.86320344042903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-049.26","LR01.4","LR",2015,1,158,"2015-06-07","River",NA,50.36863,-63.26674,49.264332,424.735668,"side/main",NA,2.5,NA,123,18.23,NA,22923796,"1.7000000000000002","1.4346244408748068",514.3,1.67,552.5,1.8,NA,NA,NA,NA,NA,NA,46.7512106213299,170.077491134463,760.8,4.98,105.2,106.116100897839,13.57,NA,NA,NA,NA,2.7,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221.51480018024,NA,6.96250555379004,NA,NA,NA,NA,NA,NA,NA,280.519034787531,0.0345822246419536,5.16658482014632,2.97244155422195,9.10398222535673,5.24273697234767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-048.89","LR01.5","LR",2015,1,158,"2015-06-07","River",NA,50.36537,-63.26615,48.890533,425.109467,NA,NA,2.3,NA,132,18.23,NA,22940412,"5.25","4.6033226897617343",514.3,1.69,552.5,1.82,NA,NA,NA,NA,NA,NA,46.3812106213299,170.080572780833,760.8,5.01,111.5,112.14600641268,14.33,NA,NA,NA,NA,2.7,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1278.32538970855,NA,6.80421778290623,NA,NA,NA,NA,NA,NA,NA,268.103944349954,0.0284442952583655,4.63259242230246,2.52363050476548,8.15295003317895,4.44578900478902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-048.14","LR01.6","LR",2015,1,158,"2015-06-07","River",NA,50.35851,-63.26716,48.140324,425.859676,"side",NA,1.4,NA,243,18,NA,22940412,"1.2250000000000001","1.0467253627215749",514.3,1.51,552.5,1.62,NA,NA,NA,NA,NA,NA,45.5421731614104,170.132253292562,760.8,5.31,109.5,109.623442051408,13.9,NA,NA,NA,6.3,2.2,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1299.11537641472,NA,8.71367709789122,NA,NA,NA,NA,NA,NA,NA,247.551254498445,0.0575336351901201,4.22757757344787,3.73535966430973,7.34875970448708,6.50193310886044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
"ROM-045.45","LR01.8","LR",2015,1,158,"2015-06-07","River",NA,50.3377,-63.28703,45.448284,428.551716,"side",NA,1,NA,346,17.86,NA,22967896,"0.95","0.57290975981181957",516.2,1.49,554.5,1.6,NA,NA,NA,NA,NA,NA,42.7906354291015,170.302381873921,760.8,5.54,112.6,112.491760566131,14.18,NA,NA,NA,NA,2.2,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1256.14283014435,NA,6.71131258609605,NA,NA,NA,NA,NA,NA,NA,269.257233355915,0.0449963375674852,4.86317462451419,4.12781208148557,8.37396302951615,7.11931436679938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Downriver"
