"sample","mz","HC","OC","DBE","DBE_O","AImod","NOSC","GFE","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","H","O","C","N","S","sum","nformula"
"L313",450.274800157994,1.12553406822119,0.54213876585702,10.1351304297388,-0.905175122057253,0.298889861504363,-0.0226011683260383,60.9441332972921,5.85067738626104,28.3037220358089,53.6512842010779,8.99096896438383,1.28414395285628,1.62882203399264,8.64629088324747,83.8742096964989,4.42254893861603,1.42812844764501,0,23.3628775308607,11.040305551796,20.7657224916378,0.101693407062769,0.0167317599621744,9.86892022241052e-06,8546
"L314",454.553051591579,1.12571839106158,0.544361743136549,10.2025465115317,-0.97888513921843,0.296767168821269,-0.0203368914245976,60.879601405601,5.05152066968011,28.3043518330075,55.2855395451194,8.42489675981331,1.07943895946605,1.38169568131868,8.12264003796069,85.4441436110405,4.04164499615936,1.00987567352075,0,23.5461453750869,11.1814316507501,20.9310681155242,0.0891021671017972,0.0176206041038195,9.95950374297629e-06,8546
"L315",451.424793552562,1.11875657167855,0.556428972436001,10.1273622974562,-1.13691375043807,0.297288749002959,0.00840454660337668,60.0604704218038,4.74088482009038,26.2588053287424,57.9384942349562,8.14233501524815,1.01609455082111,1.30592041603492,7.85250915003435,86.1006856138404,3.54505341931674,1.19583140077364,0,23.0657514380427,11.2642760478943,20.6230782053046,0.0743196223459895,0.0155464791047059,9.96208142954222e-06,8546
"L316",441.811809586517,1.12342574679929,0.552546978223424,9.90449250288201,-1.07460934766301,0.297194885029268,-0.00506852495011359,60.4444529610782,5.00083883480982,26.8400661865675,56.8659284628037,8.25648518094444,1.12139181239779,1.42666433098738,7.95121266235485,85.621284171848,3.78833083380037,1.21250800100945,0,22.7355284888819,10.979101850545,20.2387126832709,0.0670881281041284,0.0153841292990866,9.95596784740526e-06,8546
"L317",436.232331027302,1.12507432538555,0.546848042944833,9.8147846054268,-0.939168305879035,0.299610125196681,-0.0136154337527267,60.6880398619527,5.93956296790395,26.6666150617172,54.5964804465951,9.35298847748925,1.41547992715444,1.81369615210624,8.95477225253744,83.2919686274524,4.5701309185088,1.36943204939515,0,22.5684010193004,10.7539529113058,20.0532275458217,0.0915151385106712,0.0176974972237752,9.90301879282621e-06,8546
"L318",450.893017631887,1.10660475198526,0.576851908467671,10.1155824389505,-1.40928097066059,0.295493839709151,0.0608285916200297,58.5663851388292,3.81405586443831,21.4708643340636,63.9211519900564,7.85710920447587,1.05360037824014,1.32727531726836,7.58343426544765,87.2752345528457,3.15566168723533,0.658394177202982,0,22.4080647115021,11.5248634096111,20.2855867917479,0.0680560059074227,0.0186927085804939,9.94835972175706e-06,8546
"L319",456.953612158593,1.09347412788984,0.578458456046201,10.3663659511923,-1.35676855095343,0.303392846595105,0.0725747273804207,58.231620269658,2.91593863721366,21.7368862460067,63.98440696546,8.29745358011275,1.10115097280711,1.39000684357432,8.00859770934555,87.6854568098665,2.6872515716403,0.228687065573359,0,22.4356147807015,11.7231345021457,20.5620346530123,0.044277377061576,0.0148487050420174,9.98602302991807e-06,8546
"L320",449.471498488181,1.09054518205275,0.570732270755658,10.3238165878439,-1.11288096746295,0.310284619694591,0.0632596081681559,58.4971011672076,4.37961926230489,22.7060421329096,58.7047472007994,10.3175294105129,1.7462871855861,2.13362084582266,9.93019575027639,83.5565641415961,3.76127605170611,0.618343210598782,0,22.0680299352183,11.4366975553069,20.3271847906255,0.0612935296550483,0.0164063754751402,9.97232391523909e-06,8546
"LR01",438.866633767669,1.10399549125073,0.559340267924545,10.0297581365421,-0.990274686174353,0.308454545358428,0.0266291203471219,59.541070070107,5.12166785517885,24.2875430074424,56.4577513707344,10.3181915388344,1.63374571116257,2.04309372383106,9.90884352616587,82.9263948948242,4.09102963848065,1.0306382166982,0,22.0178862451261,11.0200328227164,20.0095983859393,0.0582057463316989,0.01529488923034,9.97157567423388e-06,8546
"LR05",439.143996055351,1.10068886280808,0.551627147938471,10.1248370188903,-0.824893710397337,0.314275848724698,0.0139131663290327,59.9034747596226,5.45503948131291,25.4783586762379,53.7464223123663,11.1938880912527,1.87926155807676,2.31990492379861,10.7532447255309,81.4718108693576,4.24203273933123,1.21300674198168,0,22.0603706232413,10.9497307292876,20.1272090671242,0.055626526773606,0.0147885184879652,9.9746959286917e-06,8546
