"samples","Aliphatic_(#)","Aliphatic_(%)","Aliphatic_(%RA)","CHO.1_(#)","CHO.2","CHON_(#)","CHON_(%)","CHOS_(#)","CHOS_(%)","CHO_(#)","CHO_(%)_(%)","Condensed_aromatics_(#)","Condensed_aromatics_(%)","Condensed_aromatics_(%RA)","Highly_Unsaturated_and_Phenolic_(#)","Highly_Unsaturated_and_Phenolic_(%)","Highly_Unsaturated_and_Phenolic_(%RA)","Num.formula_(#)","Peptide_(#)","Peptide_(%)","Peptide_(%RA)","Polyphenolic_(#)","Polyphenolic_(%)","Polyphenolic_(%RA)","Sugars_(#)","Sugars_(%)","Sugars_(%RA)","AI_WeightedAve","AImod_WeightedAve","AveMass","HC_WeightedAve","Mass_WeightedAve","NC_WeightedAve","NOSC_WeightedAve","OC_WeightedAve"
"LRH14",276,5.4991034070532,6.47847883226252,4072,81.1316995417414,896,17.8521617852162,51,1.01613867304244,4072,81.1316995417414,240,4.78182904961148,5.07661104192982,3569,71.109782825264,163.01069380291,5019,122,2.43076310021917,0.541409739934514,679,13.5285913528591,22.8149394510672,100,1.99242877067145,0.714438635903404,0.0653399798640589,0.326028585897747,537.537641501694,1.07241946350071,445.625302272865,0.00263882996163682,0.0722385744757519,0.56818105975728
"LRH15",451,6.99658703071672,7.7334958272039,4523,70.1675457648154,1583,24.5578653428483,340,5.27458889233633,4523,70.1675457648154,197,3.05615885820664,5.09641686743066,4848,75.2094322060193,164.262511372043,6446,180,2.79242941358982,0.648206385455737,672,10.4250698107353,20.2646770968806,79,1.22556624263109,0.633979927581533,0.0641885314843299,0.312992138783835,558.051158854794,1.10240891229867,422.326136118313,0.0035404648311445,0.0230592830494056,0.55663534012505
"M09",232,4.83534806169238,4.96066757598433,3922,81.7423926636098,828,17.25719049604,48,1.00041684035015,3922,81.7423926636098,256,5.33555648186745,6.07289317132049,3451,71.9258024176741,160.987714160534,4798,89,1.85493955814923,0.476198208212174,707,14.7353063776574,26.5986914383457,36,0.750312630262609,0.163428714208301,0.0729126613144186,0.339267248278375,545.452016546269,1.05172867619666,465.565995122195,0.00273728505637041,0.0851585634594662,0.564172129564473
"M10",296,5.85211546065638,5.799066358962,3838,75.8797943851325,990,19.5729537366548,230,4.54725187821273,3838,75.8797943851325,250,4.94266508501384,5.83990077613953,3640,71.9652036378015,162.257524762828,5058,113,2.23408461842626,0.566211496886039,697,13.7801502570186,24.60968740515,36,0.711743772241992,0.133683500070003,0.06901348110167,0.327091140925497,538.938676197707,1.07254890183972,463.981410882608,0.00336557275157844,0.0549601201277916,0.557940137618701
"M11",314,5.13407455853499,4.61221874675934,4658,76.160889470242,1251,20.4545454545455,207,3.38456507521256,4658,76.160889470242,322,5.2648790058862,6.62931420242184,4440,72.5964682799216,160.138765879258,6116,91,1.48790058862001,0.296414127658453,857,14.0124264224984,27.5243610330444,48,0.78482668410726,0.183340882965348,0.0748420569742978,0.344930588192518,563.815523387835,1.03659068995523,479.587612563141,0.00298662427901592,0.113318180363289,0.569990363545797
"M12",288,5.01392757660167,4.32778996335848,4532,78.899721448468,1112,19.3593314763231,100,1.74094707520891,4532,78.899721448468,309,5.37952646239554,6.51848776041632,4106,71.4832869080779,159.953111333145,5744,86,1.49721448467967,0.278655795144114,843,14.6761838440111,28.0044643008094,60,1.04456824512535,0.241239392044274,0.07414012092546,0.348518731645863,561.588338758008,1.02941620644563,478.732748174181,0.00238939772185782,0.12742652655883,0.574588513267396
"M13",454,6.67156502571638,7.6322474183119,4037,59.3240264511389,2168,31.8589272593681,600,8.81704628949302,4037,59.3240264511389,212,3.11535635562087,3.28793294985617,5161,75.8412931667891,172.346756643157,6805,257,3.77663482733284,1.24342126408802,651,9.56649522409993,13.8874755933444,45,0.661278471711976,0.145486289522673,0.0443184232277972,0.273474881728126,548.262544250551,1.15327412902698,464.001833507839,0.00957119927382405,-0.0283639767461672,0.546180505570656
"M14",540,7.69449985750926,8.9208550456592,4016,57.2242804217726,2289,32.6161299515531,713,10.1595896266743,4016,57.2242804217726,194,2.76432031917925,2.74263448751458,5315,75.7338273012255,173.443913365335,7018,271,3.86149900256483,1.43767413730817,627,8.93416927899686,11.6352405026658,51,0.726702764320319,0.164905662689633,0.0394582841621453,0.260706001534135,545.505377307638,1.17602562542494,458.880532108827,0.0105917881580142,-0.0586435599888717,0.540598308972597
"M15",479,6.90400691842029,7.77081041032139,4135,59.5993081579706,2164,31.1905448255982,639,9.21014701643125,4135,59.5993081579706,216,3.11328913231479,3.36140879368902,5255,75.7422888440472,172.038835374675,6938,245,3.53127702507927,1.21015387096314,672,9.68578841164601,14.0552583223386,45,0.648601902565581,0.141934850603375,0.0446910936160874,0.274041786333266,549.494734837705,1.15273032031583,464.232604755262,0.00936852523383352,-0.0287770435552667,0.545997410827096
"M16",353,5.37290715372907,5.19822468236685,4743,72.1917808219178,1463,22.2678843226788,364,5.54033485540335,4743,72.1917808219178,336,5.11415525114155,6.71671959817023,4732,72.0243531202435,159.588553265593,6570,130,1.97869101978691,0.446049506499851,902,13.7290715372907,27.0788974734246,61,0.928462709284627,0.185934270620732,0.0754978719000273,0.339876091319798,559.381333009132,1.04847354218857,475.183726451233,0.00403901037455432,0.0920519532550577,0.563338981437139
"PR01",221,4.23128470227838,4.17889910269814,4460,85.3915374305954,763,14.6084625694046,0,0,4460,85.3915374305954,306,5.85870189546238,6.02948321918213,3717,71.1659965537048,162.745767051343,5223,49,0.938158146659008,0.1855468090913,784,15.0105303465441,24.9440594185686,120,2.29753015508329,0.810953356492782,0.0711351479976745,0.343020353141512,554.551801021444,1.04029957954601,473.124952249892,0.00183557608579659,0.108968304463512,0.571880577875988
"PR03",248,4.57987072945522,4.33960486347779,4410,81.4404432132964,1005,18.5595567867036,0,0,4410,81.4404432132964,252,4.65373961218837,4.9025599288679,3945,72.8531855955679,166.420301786579,5415,101,1.865189289012,0.378460221800146,739,13.6472760849492,22.1870526977352,104,1.92059095106186,0.654205957466164,0.063907558511428,0.332491248588123,558.28720024506,1.05790075745342,470.76282330629,0.00237302357844413,0.0868545476461513,0.568818117182035
"PR05",229,4.58183273309324,5.08495792124916,3715,74.3297318927571,556,11.124449779912,727,14.5458183273309,3715,74.3297318927571,208,4.16166466586635,4.59082897477889,3770,75.4301720688276,167.657357882636,4998,63,1.26050420168067,0.297344108241675,609,12.1848739495798,20.7154084736202,104,2.08083233293317,0.655378321667063,0.0620736038742178,0.327294276112138,571.800347287515,1.06823874147429,459.349860086216,0.00184450458960888,0.0687055295431058,0.562091393705625
"PR07",278,4.88061797752809,5.0462473307127,4555,79.9683988764045,1141,20.0316011235955,0,0,4555,79.9683988764045,259,4.54705056179775,4.6842798340517,4078,71.5941011235955,165.498931838883,5696,107,1.87851123595506,0.423131944600625,809,14.2029494382022,22.307633382532,129,2.26474719101123,0.755946931990323,0.0670507326228634,0.332264160290109,545.713221924333,1.06277991621397,459.309060023104,0.00272695278195112,0.0743236389279955,0.564461348397975
"PR09",294,5.32319391634981,5.34594824267378,4208,76.1904761904762,1315,23.8095238095238,0,0,4208,76.1904761904762,196,3.54879594423321,4.19401368605193,3980,72.0622849900417,166.332297526639,5523,352,6.37334781821474,1.3746115866523,622,11.2619952924136,20.3386011385012,75,1.35795763172189,0.513347684191037,0.0600247926219902,0.319618086221262,560.848077353974,1.08169188517573,460.632579859835,0.00307983781925489,0.0569055060045288,0.56467893886117
"PR11",259,4.74880821415475,4.59068965844154,4420,81.041437477081,1034,18.958562522919,0,0,4420,81.041437477081,259,4.74880821415475,5.50251454992053,3904,71.5804913824716,163.326051854283,5454,138,2.53025302530253,0.476669302669705,756,13.8613861386139,24.1653050119744,102,1.87018701870187,0.679771108029521,0.0676427092636826,0.338168615652706,554.648482984598,1.04957306146432,464.994896848504,0.00241683022566069,0.101693237457551,0.572007904122372
"PR13",310,5.8667676003028,5.8548665630242,4391,83.0999242997729,844,15.9727479182438,49,0.927327781983346,4391,83.0999242997729,301,5.69644208932627,5.46950212092261,3607,68.2626797880394,162.846751808406,5284,60,1.13550340651022,0.227800757382668,801,15.1589704769114,23.0890081424219,162,3.0658591975776,1.0625566619401,0.0661079470102036,0.331448723551277,535.50693143944,1.05904618437746,453.304313095342,0.00199109929091019,0.0954532099452221,0.574080000277292
"PR15",382,6.48006785411365,5.90578507204784,4422,75.0127226463104,1196,20.2883799830365,277,4.6988973706531,4422,75.0127226463104,287,4.8685326547922,4.7736553034339,4116,69.821882951654,165.133810036226,5895,98,1.66242578456319,0.325470455176671,826,14.0118744698897,21.8871944400028,145,2.45971162001696,0.772711180889718,0.0645429451438599,0.325502119462945,533.415856505852,1.07022157115377,448.508070954334,0.00265762253729008,0.0771411551757723,0.568976416645258
"PR17",218,3.80919098374978,3.17479349993252,4860,84.9204962432291,863,15.0795037567709,0,0,4860,84.9204962432291,325,5.67883976935174,5.93181668181998,4070,71.1165472654203,161.881840181858,5723,48,0.838720950550411,0.142736033173891,871,15.2192905818627,26.7826088962078,146,2.55110955792417,0.888118131944707,0.0697226595227439,0.351583750662621,572.279184225406,1.01460770038346,489.68451728317,0.00175890354922204,0.166363291545658,0.587847140640653
"PR19",588,10.4042754323147,10.1715463314794,8953,155.667709040776,2173,37.6510999643079,368,6.68119099491648,8953,155.667709040776,503,8.78132854656508,7.08845045021007,8369,145.502778087142,341.497553049129,11494,117,2.0140009574507,0.361168819719839,1631,28.3733759309122,37.968014087598,229,3.94157415475131,1.20059295266248,0.0663957062350549,0.321761258331684,545.796884083088,1.08403372747168,465.573036177329,0.00235633470487197,0.0205429966861687,0.548203974716048
"PR21",224,3.85674931129476,3.2510602070124,4759,81.9387052341598,1049,18.0612947658402,0,0,4759,81.9387052341598,258,4.44214876033058,3.95201762188652,4293,73.9152892561984,169.756468644233,5808,60,1.03305785123967,0.195287150591476,817,14.0668044077135,21.239415724177,119,2.04889807162534,0.650251232634968,0.0595008841389911,0.331351849713506,577.098289794594,1.04972716551393,489.264902095794,0.00212670823825067,0.10936225722084,0.576354649009925
"PR23",616,10.0745629267902,10.2377093496353,9034,149.657654162041,2652,43.7355466076834,412,6.60679923027582,9034,149.657654162041,563,9.30753054703334,8.81081540543115,8696,143.841571890054,332.316444948679,12098,131,2.16720732502902,0.404998065579518,1801,29.7789778547823,45.1712462393592,219,3.64691627772311,1.2343450473609,0.0758584568287322,0.333342876326449,540.528120925331,1.06758622882275,463.58348255527,0.00338321303614003,0.0378530603943431,0.547099728268718
"RO2.01",425,5.934925289764,5.23651426465389,5208,72.7272727272727,1731,24.1726015919564,222,3.10012568077084,5208,72.7272727272727,340,4.7479402318112,5.43656037514606,5076,70.8839547549225,163.051491756824,7161,134,1.87124703253736,0.367418621191251,983,13.7271330819718,24.0849867999188,137,1.91314062281804,0.651548379260704,0.0672124652306288,0.333372077040737,566.414665684122,1.05220163458538,481.874311177879,0.00316398547445979,0.100796548791666,0.571282167937659
"RO2.03",446,6.03599945865476,5.0368235962558,5360,72.5402625524428,1771,23.9680606306672,258,3.49167681688997,5360,72.5402625524428,351,4.75030450669915,5.2506233954195,5247,71.0109622411693,163.795389586618,7389,150,2.03004466098254,0.39977487223823,980,13.2629584517526,23.50806478438,150,2.03004466098254,0.735582001177063,0.0649886790687634,0.331289547610432,570.609392206253,1.05069442158635,487.494314429972,0.00302080636727037,0.112364534978826,0.57645667532846
"RO2.05",437,6.13075196408529,5.25203181102567,5405,75.827721661055,1507,21.141975308642,216,3.03030303030303,5405,75.827721661055,332,4.65768799102132,5.24689929590078,5107,71.6470258136925,163.732533375419,7128,130,1.82379349046016,0.377304240969168,927,13.0050505050505,23.4895908430898,143,2.00617283950617,0.704244315405841,0.064657199746998,0.330490968359242,579.800096350449,1.05232803718884,492.986281087177,0.00250257137998751,0.106111955377524,0.575005903881568
