"sample","mz","HC","OC","DBE","DBE_O","AImod","NOSC","GFE","aliphatic","low.O.unsaturated","high.O.unsaturated","polyphenols","condensed.aromatics","fl_condensed.aromatics","fl_polyphenolic","fl_highly.unsat.phenolic","fl_aliphatic","fl_peptide","fl_sugar","H","O","C","N","S","sum","nformula"
"L328.1",542.254566952457,1.08085170216364,0.534610075899591,12.7500503825237,-0.362115364047249,0.318022067234881,0.0422094844165869,59.0970296941273,10.2933576327855,27.084544999805,40.6690983912409,15.198777713772,5.05657419976644,5.53970523939699,14.7156466741414,69.4512904536761,6.81727242270043,3.47608521008507,0,26.8593277104319,13.112165746571,25.0161709335775,0.327086608324359,0.0528617584191374,9.99981481374121e-06,13737
"LR53",527.968151998402,1.08323155049645,0.538118939433187,12.4078421419129,-0.385360520529758,0.316968827262559,0.0504441224129579,58.8623425112307,10.8558191771281,26.2908394411514,40.678010415109,15.0299117289192,5.35886777625328,5.83200599053635,14.5567735146362,68.7554013176994,7.15507998423019,3.70073919289793,0,26.0960166758203,12.7932026624427,24.2877153168873,0.336270325871621,0.0590397578412237,9.99945012738075e-06,13737
"RO2.51",507.255900036457,1.09251618765663,0.541033334454229,11.8278863041342,-0.48299080815798,0.310766280755565,0.0522362399395692,58.8112671617223,11.9585470322143,25.0957317018961,41.0281164937269,14.9441899991004,5.31132373177237,5.90120686562804,14.3543068652447,67.785939236913,7.61036087049752,4.34818616171675,0,25.1600150549283,12.3108771122922,23.2306172182117,0.354553226773238,0.070768439983012,9.9955000452319e-06,13737
"RO2.52",508.306799607375,1.08893830549313,0.541285672066133,11.8909415091103,-0.459784505954635,0.312897901337495,0.0565806959142146,58.6874501664449,11.8021055336063,25.1893444283821,40.7177511245136,15.0689862351205,5.38375091972864,5.91180579599018,14.540931358859,67.7451573115446,7.61310677267135,4.18899876093494,0,25.1125549118075,12.3507260150649,23.267465356188,0.359507217652065,0.069198398980026,9.99936011916869e-06,13737
"RO2.54",509.510289391743,1.08785780716576,0.541164061684364,11.9338900069905,-0.445253766718537,0.313747263458282,0.0571027365807336,58.6725720074491,11.737663046316,25.244485039611,40.6332487165223,15.0795629934597,5.45519760216376,5.96913325865699,14.5656273369665,67.7275763580605,7.60653419233038,4.13112885398564,0,25.151701966527,12.379143773709,23.3306542059305,0.358173568647155,0.0682571327546622,9.99865632025652e-06,13737
"RO2.56",504.363903367496,1.08896487183031,0.542291921373816,11.8035721947553,-0.459651442828417,0.313069169356412,0.059484282637963,58.604697944818,11.9360220624434,24.9429569956962,40.7155450288112,15.0837505350402,5.51064224724027,6.03942789249189,14.5549648897886,67.4695851552761,7.69844215717212,4.23757990527127,0,24.89125257525,12.2632236375837,23.0680531394665,0.362290685827469,0.0702524546143365,9.9996888655379e-06,13737
"RO2.57",513.204463416025,1.08709291210048,0.540373556808465,12.0252801628046,-0.435767631522549,0.314122633491966,0.0552940688413511,58.7241190380215,11.6087860357448,25.4079583626269,40.6377852549249,15.0665729661832,5.44004262616734,5.95825898813323,14.5483566042173,67.8845983719046,7.53021279763714,4.07857323810764,0,25.3451640121481,12.4610477943271,23.5204227694842,0.354878798788814,0.0669455023299656,9.99460870165872e-06,13737
"RO2.59",513.622014186654,1.08612791141578,0.540266618046304,12.0527111441884,-0.419450876422052,0.314788524677653,0.0557769553580481,58.7103567722956,11.60283913633,25.3369759977722,40.5911382670305,15.098263579866,5.53722898046123,6.04958217916199,14.5859103811652,67.7616683033428,7.59650711177766,4.00633202455231,0,25.3390439735477,12.4721620206105,23.5443841956327,0.355697870659113,0.0652859589608979,9.99990418766621e-06,13737
"SW34",540.083735032358,1.11631349764463,0.561481462319741,12.1096783841306,-1.27649992349103,0.27793974723237,0.0586558118505637,58.6283093622589,7.35397220637946,29.3713049647363,46.1572328793801,8.78309012756131,4.22086051720061,4.71420423720561,8.2897464075563,79.6420771488586,4.12654582887031,3.22742637750915,0,26.9507164021311,13.3861783076217,24.3930891538108,0.383894862770737,0.0539798572760026,4.17026095239532e-06,13737
"SW35",517.796834935318,1.08988245328349,0.540831890757805,12.0533194662081,-0.520043385293858,0.310325461106564,0.0522678073365211,58.8103674909091,10.9435990331436,25.6761969876502,41.9369153076429,14.9702708136332,4.75902556333618,5.27700941129885,14.4522869656705,69.3271045898871,7.03788470080728,3.90571433233629,0,25.7125958159543,12.5733628515019,23.732451038619,0.354332671132476,0.0634706894602825,9.91450316296268e-06,13737
"LR54",522.38537028891,1.0846425173988,0.538960991851226,12.2616877509412,-0.405270482247138,0.316086758892255,0.0522310977125806,58.8114137151914,10.9865959760677,26.1480257561736,40.7516681306566,14.9034456154206,5.42030257444898,5.89197024696763,14.431777942902,68.6896558340627,7.21457437552127,3.77202160054642,0,25.8185295081491,12.6669582331883,23.9996564113429,0.342592187345775,0.0616772799217321,9.99726097354861e-06,13737
"SW36",522.956487639855,1.09233528470988,0.538100613953386,12.1936854150523,-0.406656375274936,0.310959243390055,0.0485813912519971,58.9154303493181,10.3694807653543,34.4093922551557,38.589719816716,11.547636522194,3.7005608741204,4.11609047465656,11.1321069216579,74.3823218383313,6.21690996974008,4.15257079561417,0,26.0732337396539,12.6003417903273,24.0430257268452,0.374553116068269,0.0745623154535542,9.28931181700531e-06,13737
"SW37",520.590129047014,1.09091547293421,0.538443737560013,12.1352357699044,-0.483705659944576,0.310736095536257,0.0469727683429368,58.9612761022263,11.3182488393614,25.717051196275,41.3838866522703,14.8817981336249,5.01065878055913,5.53985892731778,14.3525979868663,68.7892942464545,7.11026970162384,4.20797913773758,0,25.8698967716974,12.618941429849,23.890541580695,0.359285150116248,0.061572168956019,9.92243646936985e-06,13737
"SW39",521.518499953939,1.0846039971594,0.539763715165848,12.2373012548678,-0.414438142146126,0.315778942865603,0.0541015315878219,58.7581063497471,11.3307460639504,25.4336513638238,40.8911074050777,14.8421355135451,5.55528441350108,6.05224760654136,14.3451723205048,68.2718340090034,7.39840378991518,3.93234227403524,0,25.7664451180889,12.6517393970139,23.9497290286055,0.341589570613382,0.0629976170441299,9.96389052533489e-06,13737
"SW40",513.402702193661,1.09508302433208,0.539755550771004,11.9152690507706,-0.53641311291912,0.307794389875905,0.046421023333732,58.9770008349886,11.7610549266725,25.137418272519,41.4950456963741,15.1988775073404,4.72875902732708,5.34546718064461,14.5821693540228,68.3113085386601,7.51760658142764,4.24344834524484,0,25.5720421210918,12.4516821636897,23.5220639188442,0.358452384944643,0.0684985082559516,9.88847425560935e-06,13737
