Rowid_,VALUE,COUNT,AREA,MEAN
,16,1,0.000000043402778,4.583307743072510
,19,27,0.000001171875000,3.716364229166949
,20,9248,0.000401388888889,11.245822561318281
,24,1286,0.000055815972222,12.263225539968367
,27,8,0.000000347222222,7.387603700160980
,30,3275,0.000142144097222,15.915790091775756
,33,1,0.000000043402778,0.591062247753143
,36,145162,0.006300434027778,9.376960198512387
,40,1,0.000000043402778,0.665048718452454
,44,111760,0.004850694444445,6.652394848076786
,48,2731,0.000118532986111,8.919949610644276
