FID,FID_,station,date,lat,long,flow_condi,flow_con_1,location,width_m,area_m2,velocity_m,discharge_,max_vel_ms,max_depth_,mean_depth,water_temp,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,elev_m,flacc_px,strahler_o,slope_deg
0,8,ROMA0856,2010-08-30 0:00:00,354663.114000000000000,5757237.116000000400000,low,etiage,before RO4,40,88.599999999999994,0.426000000000000,52,1.590000000000000,3.760000000000000,2.010000000000000,0,16678,28.581666430799999,354686.991052999980000,5757221.406189999500000,455.5650024,16413200.0000000,6,1.7847500
1,9,ROMA0856,2010-05-18 0:00:00,354663.114000000000000,5757237.116000000400000,high,crue,before RO4,68,218.300000000000010,1.470000000000000,321,2.460000000000000,5.390000000000000,3.200000000000000,0,16678,28.581666430799999,354686.991052999980000,5757221.406189999500000,455.5650024,16413200.0000000,6,1.7847500
2,20,ROMA0949,2010-08-28 0:00:00,350339.452999999980000,5753795.706000000200000,low,etiage,big trib before RO4,69,49.000000000000000,0.196000000000000,10,0.980000000000000,1.050000000000000,0.711000000000000,0,17180,25.189150564799998,350349.524143000020000,5753772.617789999600000,457.0329895,3347250.0000000,5,0.0840554
3,21,ROMA0949,2016-05-19 0:00:00,350339.452999999980000,5753795.706000000200000,high,crue,big trib before RO4,74,126.200000000000000,0.659000000000000,83,4.900000000000000,2.320000000000000,1.720000000000000,3,17180,25.189150564799998,350349.524143000020000,5753772.617789999600000,457.0329895,3347250.0000000,5,0.0840554
4,6,ROMA0832,2014-08-13 0:00:00,370351.418000000010000,5694429.213000000500000,low,etiage,"In RO4, pre-dam, close to dam",155,340.000000000000000,0.312000000000000,105,4.390000000000000,3.510000000000000,2.190000000000000,19,26001,68.279165059299999,370321.618151000000000,5694490.645999999700000,381.1940002,25853700.0000000,6,5.5587301
5,7,ROMA0832,,370351.418000000010000,5694429.213000000500000,high,crue,"In RO4, pre-dam, close to dam",0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0,26001,68.279165059299999,370321.618151000000000,5694490.645999999700000,381.1940002,25853700.0000000,6,5.5587301
6,18,ROMA0948,2010-08-24 0:00:00,383158.331000000010000,5691674.076000000400000,low,etiage,trib into RO3,31,37.600000000000001,0.339000000000000,13,1.070000000000000,1.790000000000000,1.220000000000000,0,26508,58.048470222200002,383216.372634000030000,5691674.966880000200000,399.8229980,3574300.0000000,6,0.8006450
7,19,ROMA0948,2016-05-19 0:00:00,383158.331000000010000,5691674.076000000400000,high,crue,trib into RO3,36,75.099999999999994,1.480000000000000,111,9.470000000000001,3.000000000000000,2.100000000000000,3,26508,58.048470222200002,383216.372634000030000,5691674.966880000200000,399.8229980,3574300.0000000,6,0.8006450
8,4,ROMA0827,2012-11-05 0:00:00,381474.413999999990000,5668189.962000000300000,low,etiage,"In RO3, pre-dam, close to dam",254,794.700000000000050,0.447000000000000,347,1.110000000000000,4.830000000000000,3.110000000000000,3,29921,104.382946170000000,381578.785336999980000,5668191.518760000400000,275.8609924,30916900.0000000,7,0.3107210
9,5,ROMA0827,2012-05-17 0:00:00,381474.413999999990000,5668189.962000000300000,high,crue,"In RO3, pre-dam, close to dam",223,1080.099999999999900,1.020000000000000,1100,1.840000000000000,6.890000000000000,4.850000000000000,0,29921,104.382946170000000,381578.785336999980000,5668191.518760000400000,275.8609924,30916900.0000000,7,0.3107210
10,22,ROMA0977,2017-06-01 0:00:00,380322.483000000010000,5666041.201000000400000,low,etiage,"In RO3, close to dam",141,671.200000000000050,0.297000000000000,185,4.220000000000000,13.900000000000000,4.720000000000000,0,30183,75.757721623400002,380268.149712999990000,5666093.994239999900000,275.2470093,30931500.0000000,7,5.6184502
11,23,ROMA0977,2017-06-01 0:00:00,380322.483000000010000,5666041.201000000400000,high,crue,"In RO3, close to dam",155,851.799999999999950,0.450000000000000,380,2.360000000000000,9.230000000000000,5.510000000000000,0,30183,75.757721623400002,380268.149712999990000,5666093.994239999900000,275.2470093,30931500.0000000,7,5.6184502
12,16,ROMA0947,2010-08-24 0:00:00,400804.299000000000000,5662858.270999999700000,low,etiage,trib into RO3 right arm,42,31.800000000000001,0.303000000000000,10,0.859000000000000,1.480000000000000,0.762000000000000,0,31059,49.203792541699997,400846.416304000010000,5662832.831939999900000,268.9360046,2638180.0000000,6,8.8222103
13,17,ROMA0947,2016-05-19 0:00:00,400804.299000000000000,5662858.270999999700000,high,crue,trib into RO3 right arm,59,109.900000000000010,1.140000000000000,125,8.320000000000000,2.910000000000000,1.870000000000000,0,31059,49.203792541699997,400846.416304000010000,5662832.831939999900000,268.9360046,2638180.0000000,6,8.8222103
14,2,ROMA0715,2010-08-25 0:00:00,399125.103999999990000,5612479.710000000000000,low,etiage,trib into RO1 top,24,43.600000000000001,0.133000000000000,6,0.777000000000000,2.270000000000000,1.790000000000000,0,38428,9.825741465300000,399134.928149999990000,5612479.886850000400000,111.1480026,1699200.0000000,4,1.9038600
15,3,ROMA0715,2010-05-14 0:00:00,399125.103999999990000,5612479.710000000000000,high,crue,trib into RO1 top,31,66.400000000000006,0.547000000000000,36,1.240000000000000,3.000000000000000,2.170000000000000,0,38428,9.825741465300000,399134.928149999990000,5612479.886850000400000,111.1480026,1699200.0000000,4,1.9038600
16,14,ROMA0945,2015-10-15 0:00:00,392726.000000000000000,5583720.684000000400000,low,etiage,just after RO1 dam,51,544.899999999999980,0.179000000000000,133,9.050000000000001,14.600000000000000,9.090000000000000,10,42399,59.365966713699997,392700.332180000030000,5583774.214189999700000,25.5858002,39156200.0000000,7,0.3267790
17,15,ROMA0945,,392726.000000000000000,5583720.684000000400000,high,crue,just after RO1 dam,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,0.000000000000000,0,42399,59.365966713699997,392700.332180000030000,5583774.214189999700000,25.5858002,39156200.0000000,7,0.3267790
18,12,ROMA0944,2010-08-29 0:00:00,391415.610999999980000,5579250.168999999800000,low,etiage,"after RO1, around PK46",68,349.800000000000010,0.468000000000000,164,1.460000000000000,7.650000000000000,5.150000000000000,0,43040,6.488985656670000,391415.504877000000000,5579256.657119999600000,29.8349991,10932.0000000,1,4.9035802
19,13,ROMA0944,2010-05-13 0:00:00,391415.610999999980000,5579250.168999999800000,high,crue,"after RO1, around PK46",349,1422.599999999999900,0.686000000000000,975,1.400000000000000,5.380000000000000,4.080000000000000,0,43040,6.488985656670000,391415.504877000000000,5579256.657119999600000,29.8349991,10932.0000000,1,4.9035802
20,10,ROMA0943,2010-08-29 0:00:00,384211.647000000000000,5577034.713000000500000,low,etiage,"after RO1, around PK35",181,301.699999999999990,0.521000000000000,157,1.320000000000000,2.530000000000000,1.670000000000000,0,43332,120.644441103999990,384312.266982999980000,5577101.276510000200000,11.8491001,8330.0000000,1,1.8930399
21,11,ROMA0943,2010-05-11 0:00:00,384211.647000000000000,5577034.713000000500000,high,crue,"after RO1, around PK35",237,1201.599999999999900,0.934000000000000,1120,2.180000000000000,6.530000000000000,5.060000000000000,0,43332,120.644441103999990,384312.266982999980000,5577101.276510000200000,11.8491001,8330.0000000,1,1.8930399
22,0,ROMA0665,2014-08-11 0:00:00,357967.043000000010000,5576551.967000000200000,low,etiage,"before plume, around PK5",167,843.700000000000050,0.218000000000000,181,4.890000000000000,8.440000000000000,5.040000000000000,19,43397,104.114796506000000,358055.286811000030000,5576496.713759999700000,1.0000000,43471800.0000000,7,1.2124900
23,1,ROMA0665,2013-05-14 0:00:00,357967.043000000010000,5576551.967000000200000,high,crue,"before plume, around PK5",227,1581.200000000000000,0.997000000000000,1580,2.490000000000000,12.900000000000000,6.960000000000000,4,43397,104.114796506000000,358055.286811000030000,5576496.713759999700000,1.0000000,43471800.0000000,7,1.2124900
