"Reservoir","year","month","out.dis_m3s","in.dis_m3s","mean.vol_m3","gis.vol_m3","mean.area_km2","gis.area_km2","wrt_d","pxl.no_18","wrt.px18_d","mean.vol_hm3","gis.volume_hm3","gis.pxl_no","wrt_s","wrt_h","wrt.px18_s","veloc.px18_ms"
"RO2",2015,6,497.249402777778,609.059387283875,3559814644.04209,3561317559.7275,84.205409091943,80.1517943666791,82.8589399000844,2932,0.0282602114256768,3559.81464404209,3561.3175597275,149023,7159012.40736729,1988.61455760203,2441.68226717848,0.00737196655025888
"RO2",2015,8,495.33873655914,371.522354930425,3613687384.73324,3561317559.7275,84.9787462591754,80.1517943666791,84.4373403178331,2932,0.02879854717525,3613.68738473324,3561.3175597275,149023,7295386.20346078,2026.49616762799,2488.1944759416,0.0072341612257572
"RO2",2015,10,207.021653225807,146.32274790733,3504887429.95669,3561317559.7275,83.7096356951969,80.1517943666791,195.949680159124,2932,0.066831405238446,3504.88742995669,3561.3175597275,149023,16930052.3657483,4702.79232381897,5774.23341260174,0.0031172969143777
"RO2",2016,6,511.787027777778,529.889717397892,3665905118.99545,3561317559.7275,85.4861173706879,80.1517943666791,82.9045190535855,2932,0.0282757568395585,3665.90511899545,3561.3175597275,149023,7162950.44622979,1989.70845728605,2443.02539093785,0.00736791359875714
"RO2",2016,8,225.339005376344,219.730648058838,3515103365.28543,3561317559.7275,83.8326745121033,80.1517943666791,180.546047320539,2932,0.0615777787587105,3515.10336528543,3561.3175597275,149023,15599178.4884946,4333.10513569294,5320.32008475259,0.00338325508865263
"RO2",2016,10,221.517419354839,184.659826845558,3614116597.46934,3561317559.7275,84.9755020743408,80.1517943666791,188.834148272759,2932,0.0644045526169029,3614.11659746934,3561.3175597275,149023,16315270.4107664,4532.01955854622,5564.55334610041,0.00323476097369329
"RO2",2017,6,261.274083333334,345.309513888889,3269383831.48723,3561317559.7275,80.6290749623949,80.1517943666791,144.829101147154,2932,0.0493960099410483,3269.38383148723,3561.3175597275,149023,12513234.3391141,3475.89842753169,4267.81525890658,0.00421761461263711
"RO2",2017,8,331.611545698925,282.85877688172,3623398784.98927,3561317559.7275,85.0698286263409,80.1517943666791,126.465699042492,2932,0.0431329123610136,3623.39878498927,3561.3175597275,149023,10926636.3972713,3035.17677701981,3726.68362799158,0.00483003168414936
"RO2",2017,10,264.161438172043,261.783212365592,3579894732.04533,3561317559.7275,84.5964628436418,80.1517943666791,156.850928329271,2932,0.0534962238503653,3579.89473204533,3561.3175597275,149023,13551920.207649,3764.4222799025,4622.07374067156,0.0038943558692304
"RO2",2018,6,758.394305555555,793.854416666667,3441992815.76359,3561317559.7275,82.8753479442971,80.1517943666791,52.5292443788799,2932,0.0179158405112141,3441.99281576359,3561.3175597275,149023,4538526.71433522,1260.70186509312,1547.9286201689,0.0116284431759107
"RO2",2018,8,225.663629032258,212.414717741936,3611798983.60492,3561317559.7275,84.9702090437643,80.1517943666791,185.245753408199,2932,0.0631806798800132,3611.79898360492,3561.3175597275,149023,16005233.0944684,4445.89808179677,5458.81074163314,0.00329742151760602
"RO2",2018,10,183.44373655914,138.795604838709,3489534037.45473,3561317559.7275,83.5086824161861,80.1517943666791,220.166281995042,2932,0.0750908192343255,3489.53403745473,3561.3175597275,149023,19022366.7643717,5283.99076788102,6487.84678184573,0.00277441817065834
"RO1",2016,6,545.118305555556,511.787027777778,154683752.013033,182457074.68845,12.4966301080866,11.6379654583938,3.28428010141753,1267,0.00259217056149765,154.683752013033,182.45707468845,21638,283761.800762474,78.8227224340207,223.963536513397,0.0803702257975519
"RO1",2016,8,240.889072580646,225.339005376344,154451062.156183,182457074.68845,12.4780826977064,11.6379654583938,7.42095942777404,1267,0.00585711083486506,154.451062156183,182.45707468845,21638,641170.894559677,178.103026266577,506.054376132341,0.0355693001561807
"RO1",2016,10,248.204556451613,221.517419354839,154724491.128997,182457074.68845,12.4998101817826,11.6379654583938,7.21498729516492,1267,0.00569454403722567,154.724491128997,182.45707468845,21638,623374.902302249,173.159695083958,492.008604816298,0.0365847260064094
"RO1",2017,6,289.068055555555,261.274083333334,150824547.658006,182457074.68845,12.187821627052,11.6379654583938,6.03890486421106,1267,0.00476630218169776,150.824547658006,182.45707468845,21638,521761.380267835,144.933716741065,411.808508498686,0.0437096359801353
"RO1",2017,8,369.522809139785,331.611545698925,151806637.035724,182457074.68845,12.2670269293655,11.6379654583938,4.75483845253755,1267,0.00375283224351819,151.806637035724,182.45707468845,21638,410818.042299244,114.116122860901,324.244705839972,0.0555136280586914
"RO1",2017,10,284.269758064516,264.161438172043,147732127.847736,182457074.68845,11.9400193038129,11.6379654583938,6.01492963047522,1267,0.00474737934528431,147.732127847736,182.45707468845,21638,519689.920073059,144.358311131405,410.173575432564,0.0438838605851618
"RO1",2018,6,793.699555555556,758.394305555555,152817539.382456,182457074.68845,12.3479868638853,11.6379654583938,2.22845219989099,1267,0.00175884151530465,152.817539382456,182.45707468845,21638,192538.270070581,53.4828527973837,151.963906922322,0.118449178917208
"RO1",2018,8,236.482580645161,225.663629032258,151521532.296872,182457074.68845,12.244498443733,11.6379654583938,7.41585885030849,1267,0.00585308512257971,151.521532296872,182.45707468845,21638,640730.204666654,177.980612407404,505.706554590887,0.0355937644798017
"RO1",2018,10,196.889610215054,183.44373655914,150901739.202155,182457074.68845,12.1949444099943,11.6379654583938,8.87069615062302,1267,0.00700133871398818,150.901739202155,182.45707468845,21638,766428.147413829,212.896707614953,604.915664888579,0.029756214039052
